object_path,asset_name,asset_class_path,parent_class_path,native_parent_class_path,provisional_tier,provisional_reasons_json,descendant_count,referencer_count,component_reuse_count,cross_domain_reference_count,registry_usage_count,native_call_count,query_hit_count,existing_report_count,tier_sample_rank,sample_method
/Game/PrimalEarth/Human/Male/Animations/ASA/TPV/Movement/HM_TPV_Emote_Easter_Sunbathe_Full.HM_TPV_Emote_Easter_Sunbathe_Full,HM_TPV_Emote_Easter_Sunbathe_Full,/Script/Engine.AnimMontage,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,4,0,1,2,0,,,1,top structural and demand signals within provisional tier
/Game/PrimalEarth/Human/Female/Hair/FacialDreadlocks/SK_Female_FacialHair_DreadBeard_Long.SK_Female_FacialHair_DreadBeard_Long,SK_Female_FacialHair_DreadBeard_Long,/Script/Engine.SkeletalMesh,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,7,0,1,1,0,,,2,top structural and demand signals within provisional tier
/Game/PrimalEarth/Human/Male/Hair/FacialStark/SK_StarkBeard_FacialHair.SK_StarkBeard_FacialHair,SK_StarkBeard_FacialHair,/Script/Engine.SkeletalMesh,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,7,0,1,1,0,,,3,top structural and demand signals within provisional tier
/Game/ScorchedEarth/Human/Female/Animations/ASA/TPV/Movement/HF_TPV_Emote_SE_Standoff_Montage.HF_TPV_Emote_SE_Standoff_Montage,HF_TPV_Emote_SE_Standoff_Montage,/Script/Engine.AnimMontage,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,5,0,1,1,0,,,4,top structural and demand signals within provisional tier
/Game/ScorchedEarth/Human/Male/Animations/ASA/TPV/Movement/HM_TPV_Emote_SE_Standoff_Montage.HM_TPV_Emote_SE_Standoff_Montage,HM_TPV_Emote_SE_Standoff_Montage,/Script/Engine.AnimMontage,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,5,0,1,1,0,,,5,top structural and demand signals within provisional tier
/Game/PrimalEarth/ExplorerNotes/DearJaneNotes/SK_DearJane_Note.SK_DearJane_Note,SK_DearJane_Note,/Script/Engine.SkeletalMesh,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,4,0,1,1,0,,,6,top structural and demand signals within provisional tier
/Game/PrimalEarth/Human/Female/Hair/Eye/SK_Female_Hair_Eyelashes.SK_Female_Hair_Eyelashes,SK_Female_Hair_Eyelashes,/Script/Engine.SkeletalMesh,UNKNOWN,UNKNOWN,0,"[""global_or_system_registration"",""referenced_by_assets"",""lightweight_catalog_only""]",0,4,0,1,1,0,,,7,top structural and demand signals within provisional tier
/Game/ASA/CoreBlueprints/ActorTrackFilters/PrimalDinoTrackFilter_ParentClass.PrimalDinoTrackFilter_ParentClass,PrimalDinoTrackFilter_ParentClass,/Script/Engine.Blueprint,/Game/ASA/CoreBlueprints/ActorTrackFilters/CharacterTrackFilter_SearchName.CharacterTrackFilter_SearchName_C,/Script/ShooterGame.DinoTrackFilterOption,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",13,2,0,1,0,0,,,8,top structural and demand signals within provisional tier
/Game/PrimalEarth/Structures/BuildingBases/WaterPipeBaseBP.WaterPipeBaseBP,WaterPipeBaseBP,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/BuildingBases/CableBaseBP.CableBaseBP_C,/Script/ShooterGame.PrimalStructureWaterPipe,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",13,1,0,1,0,0,,,9,top structural and demand signals within provisional tier
/Game/PrimalEarth/Structures/Tileset/GarageDoors/Small/StructureBase_GarageDoor_Small.StructureBase_GarageDoor_Small,StructureBase_GarageDoor_Small,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/Tileset/GarageDoors/StructureBase_GarageDoor.StructureBase_GarageDoor_C,/Script/ShooterGame.PrimalStructureDoor,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",12,2,0,1,0,0,,,10,top structural and demand signals within provisional tier
/Game/PrimalEarth/CoreBlueprints/Weapons/WeapMachinedSniper.WeapMachinedSniper,WeapMachinedSniper,/Script/Engine.Blueprint,/Script/ShooterGame.ShooterWeapon_Instant,/Script/ShooterGame.ShooterWeapon_Instant,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",11,2,0,1,0,0,,,11,top structural and demand signals within provisional tier
/Game/Genesis2/Missions/ModularMission/WhaleGallery/WhaleGallery_Submodule_SpawnCreatures_Drones_Main.WhaleGallery_Submodule_SpawnCreatures_Drones_Main,WhaleGallery_Submodule_SpawnCreatures_Drones_Main,/Script/Engine.Blueprint,/Game/Genesis2/Missions/ModularMission/MissionModule_zSubmodule_SpawnCreatures_Base.MissionModule_zSubmodule_SpawnCreatures_Base_C,UNKNOWN,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",10,4,0,1,0,0,,,12,top structural and demand signals within provisional tier
/Game/Packs/Wasteland/Vehicles/Car/RearEndMod/BaseClass/PrimalItem_Car_Rearmod_Base.PrimalItem_Car_Rearmod_Base,PrimalItem_Car_Rearmod_Base,/Script/Engine.Blueprint,/Game/Packs/Wasteland/Vehicles/Car/BaseClasses/PrimalItem_Car_Equipment_Base.PrimalItem_Car_Equipment_Base_C,/Script/ShooterGame.PrimalItem,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",10,2,0,1,0,0,,,13,top structural and demand signals within provisional tier
/Game/PrimalEarth/Structures/Tileset/GarageDoors/Large/StructureBase_GarageDoor_Large.StructureBase_GarageDoor_Large,StructureBase_GarageDoor_Large,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/Tileset/GarageDoors/StructureBase_GarageDoor.StructureBase_GarageDoor_C,/Script/ShooterGame.PrimalStructureDoor,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",10,2,0,1,0,0,,,14,top structural and demand signals within provisional tier
/Game/PrimalEarth/Structures/Tileset/GarageDoors/Medium/StructureBase_GarageDoor_Medium.StructureBase_GarageDoor_Medium,StructureBase_GarageDoor_Medium,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/Tileset/GarageDoors/StructureBase_GarageDoor.StructureBase_GarageDoor_C,/Script/ShooterGame.PrimalStructureDoor,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",10,2,0,1,0,0,,,15,top structural and demand signals within provisional tier
/Game/PrimalEarth/CoreBlueprints/Items/Trophies/PrimalItemTrophy_Broodmother.PrimalItemTrophy_Broodmother,PrimalItemTrophy_Broodmother,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Trophies/PrimalItemTrophyGenericWall.PrimalItemTrophyGenericWall_C,/Script/ShooterGame.PrimalItem,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",9,3,0,1,0,0,,,16,top structural and demand signals within provisional tier
/Game/PrimalEarth/Dinos/BaseBPs/DinoSettings_Pescavore.DinoSettings_Pescavore,DinoSettings_Pescavore,/Script/Engine.Blueprint,/Game/PrimalEarth/Dinos/BaseBPs/DinoSettings_Carnivore.DinoSettings_Carnivore_C,/Script/ShooterGame.PrimalDinoSettings,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",9,3,0,1,0,0,,,17,top structural and demand signals within provisional tier
/Game/Packs/Wasteland/Vehicles/Car/FrontEndMod/BaseClass/PrimalItem_Car_FrontMod_Base.PrimalItem_Car_FrontMod_Base,PrimalItem_Car_FrontMod_Base,/Script/Engine.Blueprint,/Game/Packs/Wasteland/Vehicles/Car/BaseClasses/PrimalItem_Car_Equipment_Base.PrimalItem_Car_Equipment_Base_C,/Script/ShooterGame.PrimalItem,0,"[""has_descendants"",""referenced_by_assets"",""lightweight_catalog_only""]",9,2,0,1,0,0,,,18,top structural and demand signals within provisional tier
