object_path,asset_name,asset_class_path,generated_class_path,parent_class_path,native_parent_class_path,is_data_asset,identity_status,identity_confidence,current_classification_basis
/AnimToTexture/Characters/Mannequin/Data/DA_BoneAnimation.DA_BoneAnimation,DA_BoneAnimation,/Script/AnimToTexture.AnimToTextureDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/AnimToTexture/Characters/Mannequin/Data/DA_VertexAnimation.DA_VertexAnimation,DA_VertexAnimation,/Script/AnimToTexture.AnimToTextureDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/CosmoCarCosmetic/ModDataAsset_CosmoCarCosmetic.ModDataAsset_CosmoCarCosmetic,ModDataAsset_CosmoCarCosmetic,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/DinoDefense/2DPlatformer/ModDataAsset_2DPlatformer.ModDataAsset_2DPlatformer,ModDataAsset_2DPlatformer,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/DinoDefense/ModDataAsset_SimpleGame.ModDataAsset_SimpleGame,ModDataAsset_SimpleGame,/Script/ShooterGame.ModDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/ASA/Blueprints/Water_DA/Presets/BC_WaterPreset.BC_WaterPreset,BC_WaterPreset,/Script/Engine.Blueprint,/Game/ASA/Blueprints/Water_DA/Presets/BC_WaterPreset.BC_WaterPreset_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/ASA/UI/DiscordUI/DA_DiscordFriendsVisuals.DA_DiscordFriendsVisuals,DA_DiscordFriendsVisuals,/Script/ShooterGame.DiscordFriendsVisualDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/ASA/UI/ReMainMenu/DLC/Base/DA_DLC_Base.DA_DLC_Base,DA_DLC_Base,/Script/Engine.Blueprint,/Game/ASA/UI/ReMainMenu/DLC/Base/DA_DLC_Base.DA_DLC_Base_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/Art_Tools/Building_Tools/PDA_BT_ModuleSet.PDA_BT_ModuleSet,PDA_BT_ModuleSet,/Script/Engine.Blueprint,/Game/Art_Tools/Building_Tools/PDA_BT_ModuleSet.PDA_BT_ModuleSet_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/Art_Tools/Building_Tools/PDA_BT_StoryConfig.PDA_BT_StoryConfig,PDA_BT_StoryConfig,/Script/Engine.Blueprint,/Game/Art_Tools/Building_Tools/PDA_BT_StoryConfig.PDA_BT_StoryConfig_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/Art_Tools/Level_Tools/PCG/PCG_Core/Data/PDA_PCG_Biome.PDA_PCG_Biome,PDA_PCG_Biome,/Script/Engine.Blueprint,/Game/Art_Tools/Level_Tools/PCG/PCG_Core/Data/PDA_PCG_Biome.PDA_PCG_Biome_C,/Script/Engine.PrimaryDataAsset,/Script/Engine.PrimaryDataAsset,0,EXTRACTED,HIGH,parent_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_DaeodonAndBow.DinoGroup_DaeodonAndBow,DinoGroup_DaeodonAndBow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_RaptorsAndBows.DinoGroup_RaptorsAndBows,DinoGroup_RaptorsAndBows,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_RaptorsAndSpears.DinoGroup_RaptorsAndSpears,DinoGroup_RaptorsAndSpears,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_RexAndBots.DinoGroup_RexAndBots,DinoGroup_RexAndBots,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_RexAndBow.DinoGroup_RexAndBow,DinoGroup_RexAndBow,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
/Game/Genesis/Missions/VRBattle/Groups/DinoGroup_RexAndGrenade.DinoGroup_RexAndGrenade,DinoGroup_RexAndGrenade,/Script/ShooterGame.VRBattleGroupDataAsset,UNKNOWN,UNKNOWN,UNKNOWN,0,EXTRACTED,HIGH,asset_class_name_candidate
