database_name,table_name,row_count,distinct_asset_count,source_asset_count,stale_row_count,duplicate_key_count,distinct_asset_status,stale_count_status,duplicate_count_status
asset_catalog.sqlite,asset_files,279083,279083,0,279054,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,assets,7256,7256,0,7228,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,deferred_assets,371,371,0,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,failed_assets,0,0,0,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,metadata,8,-1,0,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,priority_categories,5,-1,0,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,priority_queue,2429,2429,0,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
asset_catalog.sqlite,processed_assets,29,29,0,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,asset_references,5,2,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_assets,1823,1823,19,1805,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_conditions,153,18,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_effects,434,19,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_references,5,2,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_stacks,11,5,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_stat_modifiers,24,8,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,buff_triggers,826,19,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,formula_candidates,12,3,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,metadata,17,-1,19,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,read_sources,19,19,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,unresolved_formulas,12,3,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
buffs.sqlite,unresolved_work,12,3,19,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,asset_references,1,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,formula_candidates,2,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_assets,605,605,1,605,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
loot.sqlite,loot_conditions,13,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_crates,0,0,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_entries,1,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_item_sets,4,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_references,1,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,loot_rewards,23,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,metadata,17,-1,1,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,read_sources,1,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,unresolved_formulas,2,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
loot.sqlite,unresolved_work,2,1,1,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,asset_references,37,4,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,formula_candidates,0,0,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,game_data_assets,6,6,6,0,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,game_data_references,37,4,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,game_data_rules,560,6,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,metadata,17,-1,6,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,read_sources,6,6,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,registered_buffs,7,2,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,registered_creatures,4,2,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,registered_items,2,1,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,registered_loot,0,0,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,remaps,0,0,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,unresolved_formulas,0,0,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_game_data.sqlite,unresolved_work,0,0,6,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,asset_references,3,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,formula_candidates,5,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_assets,3229,3229,3,3227,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_crafting_costs,0,0,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_display,3,3,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_grants,3,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_properties,26,3,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_references,3,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,item_use_logic,38,2,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,metadata,17,-1,3,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,read_sources,3,3,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,unresolved_formulas,5,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
primal_items.sqlite,unresolved_work,5,1,3,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,asset_references,2,1,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,creature_status_links,0,-1,2,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,deferred_creature_status,371,371,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,formula_candidates,0,0,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,growth_rules,0,0,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,leveling_rules,16,2,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,metadata,17,-1,2,-1,0,NOT_MEASURABLE,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,read_sources,2,2,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,status_assets,373,373,2,371,0,MEASURED,PROXY_PROCESSED_CURRENT,PRIMARY_KEY_MEASURED
status_components.sqlite,status_values,89,2,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,taming_status_rules,4,1,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,unresolved_formulas,0,0,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
status_components.sqlite,unresolved_work,0,0,2,-1,0,MEASURED,NOT_MEASURABLE,PRIMARY_KEY_MEASURED
