object_path,asset_name,asset_class_path,generated_class_path,parent_class_path,native_parent_class_path,blueprint_kind,identity_status,identity_confidence,capture_exists,evidence_freshness,descendant_count,referencer_count,component_reuse_count,cross_domain_reference_count,registry_usage_count,native_call_count,unresolved_native_call_count,query_hit_count,existing_report_count,provisional_tier,provisional_reasons_json
/Engine/EditorBlueprintResources/StandardMacros.StandardMacros,StandardMacros,/Script/Engine.Blueprint,/Engine/EditorBlueprintResources/StandardMacros.StandardMacros_C,/Script/CoreUObject.Object,/Script/CoreUObject.Object,BPTYPE_MacroLibrary,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,4180,0,92,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial,WorldGridMaterial,/Script/Engine.Material,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2806,0,75,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/BreakOutFloat2Components.BreakOutFloat2Components,BreakOutFloat2Components,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2604,0,49,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/MakeFloat3.MakeFloat3,MakeFloat3,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2793,0,47,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/BreakOutFloat3Components.BreakOutFloat3Components,BreakOutFloat3Components,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,3378,0,46,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/VectorLength.VectorLength,VectorLength,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,3191,0,44,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/EngineMaterials/Good64x64TilingNoiseHighFreq.Good64x64TilingNoiseHighFreq,Good64x64TilingNoiseHighFreq,/Script/Engine.Texture2D,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,4540,0,37,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/General/M_Metal.M_Metal,M_Metal,/Script/PhysicsCore.PhysicalMaterial,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,1120,0,34,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/General/M_Rock.M_Rock,M_Rock,/Script/PhysicsCore.PhysicalMaterial,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,1164,0,33,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/EngineMaterials/DefaultDiffuse.DefaultDiffuse,DefaultDiffuse,/Script/Engine.Texture2D,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2603,0,32,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/EngineResources/DefaultTexture.DefaultTexture,DefaultTexture,/Script/Engine.Texture2D,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2389,0,32,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/BreakOutFloat4Components.BreakOutFloat4Components,BreakOutFloat4Components,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,2225,0,32,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/DitherTemporalAA.DitherTemporalAA,DitherTemporalAA,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,1988,0,32,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/MapTemplates/SM_Template_Map_Floor.SM_Template_Map_Floor,SM_Template_Map_Floor,/Script/Engine.StaticMesh,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,192,0,32,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
/Engine/Functions/Engine_MaterialFunctions02/Utility/MakeFloat2.MakeFloat2,MakeFloat2,/Script/Engine.MaterialFunction,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXTRACTED,HIGH,0,NOT_AVAILABLE,0,374,0,31,0,0,0,,,1,"[""referenced_by_assets"",""cross_domain_references""]"
