object_path,asset_name,asset_class_path,generated_class_path,parent_class_path,native_parent_class_path,blueprint_kind,identity_status,identity_confidence,capture_exists,evidence_freshness,descendant_count,referencer_count,component_reuse_count,cross_domain_reference_count,registry_usage_count,native_call_count,unresolved_native_call_count,query_hit_count,existing_report_count,provisional_tier,provisional_reasons_json
/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_Base.PrimalItem_Base,PrimalItem_Base,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_Base.PrimalItem_Base_C,/Script/ShooterGame.PrimalItem,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,3329,70,0,10,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Dino_Character_BP.Dino_Character_BP,Dino_Character_BP,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Dino_Character_BP.Dino_Character_BP_C,/Script/ShooterGame.PrimalDinoCharacter,/Script/ShooterGame.PrimalDinoCharacter,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,1476,1074,0,26,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/Genesis2/Missions/ModularMission/MissionModule_Base.MissionModule_Base,MissionModule_Base,/Script/Engine.Blueprint,/Game/Genesis2/Missions/ModularMission/MissionModule_Base.MissionModule_Base_C,/Script/ShooterGame.NewMissionModuleBase,/Script/ShooterGame.NewMissionModuleBase,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,1215,103,0,4,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableGeneric.PrimalItemConsumableGeneric,PrimalItemConsumableGeneric,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableGeneric.PrimalItemConsumableGeneric_C,/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_Base.PrimalItem_Base_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,1081,21,0,7,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/Structures/BuildingBases/StructureBaseBP.StructureBaseBP,StructureBaseBP,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/BuildingBases/StructureBaseBP.StructureBaseBP_C,/Script/ShooterGame.PrimalStructure,/Script/ShooterGame.PrimalStructure,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,1058,943,0,17,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_Base.Buff_Base,Buff_Base,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_Base.Buff_Base_C,/Script/ShooterGame.PrimalBuff,/Script/ShooterGame.PrimalBuff,BPTYPE_Normal,EXTRACTED,HIGH,1,FRESH,1004,570,0,1,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets""]"
/Game/PrimalEarth/Test/PrimalItemSkinGeneric.PrimalItemSkinGeneric,PrimalItemSkinGeneric,/Script/Engine.Blueprint,/Game/PrimalEarth/Test/PrimalItemSkinGeneric.PrimalItemSkinGeneric_C,/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_Base.PrimalItem_Base_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,661,344,0,10,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/DamageTypes/ShooterDamageTypeBP_Base.ShooterDamageTypeBP_Base,ShooterDamageTypeBP_Base,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/DamageTypes/ShooterDamageTypeBP_Base.ShooterDamageTypeBP_Base_C,/Script/ShooterGame.ShooterDamageType,/Script/ShooterGame.ShooterDamageType,BPTYPE_Const,EXTRACTED,HIGH,0,NOT_AVAILABLE,596,67,0,10,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreAI/Dino_AIController_BP.Dino_AIController_BP,Dino_AIController_BP,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreAI/Dino_AIController_BP.Dino_AIController_BP_C,/Script/ShooterGame.PrimalDinoAIController,/Script/ShooterGame.PrimalDinoAIController,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,566,312,0,16,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableEatable.PrimalItemConsumableEatable,PrimalItemConsumableEatable,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableEatable.PrimalItemConsumableEatable_C,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableGeneric.PrimalItemConsumableGeneric_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,557,75,0,11,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/DinoCharacterStatusComponent_BP.DinoCharacterStatusComponent_BP,DinoCharacterStatusComponent_BP,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/DinoCharacterStatusComponent_BP.DinoCharacterStatusComponent_BP_C,/Script/ShooterGame.PrimalDinoStatusComponent,/Script/ShooterGame.PrimalDinoStatusComponent,BPTYPE_Normal,EXTRACTED,HIGH,1,FRESH,503,284,0,1,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets""]"
/Game/Genesis/Missions/MissionTypeBlueprintBase.MissionTypeBlueprintBase,MissionTypeBlueprintBase,/Script/Engine.Blueprint,/Game/Genesis/Missions/MissionTypeBlueprintBase.MissionTypeBlueprintBase_C,/Script/ShooterGame.MissionType,/Script/ShooterGame.MissionType,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,480,25,0,3,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Items/Structures/BuildingBases/PrimalItemStructureGeneric.PrimalItemStructureGeneric,PrimalItemStructureGeneric,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Structures/BuildingBases/PrimalItemStructureGeneric.PrimalItemStructureGeneric_C,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableGeneric.PrimalItemConsumableGeneric_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,436,201,0,12,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Items/Armor/Base/PrimalItemArmorGeneric.PrimalItemArmorGeneric,PrimalItemArmorGeneric,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Armor/Base/PrimalItemArmorGeneric.PrimalItemArmorGeneric_C,/Game/PrimalEarth/CoreBlueprints/Items/PrimalItem_Base.PrimalItem_Base_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,395,21,0,5,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg.PrimalItemConsumable_Egg,PrimalItemConsumable_Egg,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg.PrimalItemConsumable_Egg_C,/Game/PrimalEarth/CoreBlueprints/Items/Consumables/BaseBPs/PrimalItemConsumableEatable.PrimalItemConsumableEatable_C,/Script/ShooterGame.PrimalItem,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,331,24,0,8,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/Structures/BuildingBases/StructureItemContainerBaseBP.StructureItemContainerBaseBP,StructureItemContainerBaseBP,/Script/Engine.Blueprint,/Game/PrimalEarth/Structures/BuildingBases/StructureItemContainerBaseBP.StructureItemContainerBaseBP_C,/Script/ShooterGame.PrimalStructureItemContainer,/Script/ShooterGame.PrimalStructureItemContainer,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,307,302,0,22,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/PrimalEarth/CoreBlueprints/DamageTypes/DmgType_Melee.DmgType_Melee,DmgType_Melee,/Script/Engine.Blueprint,/Game/PrimalEarth/CoreBlueprints/DamageTypes/DmgType_Melee.DmgType_Melee_C,/Game/PrimalEarth/CoreBlueprints/DamageTypes/ShooterDamageTypeBP_Base.ShooterDamageTypeBP_Base_C,/Script/ShooterGame.ShooterDamageType,BPTYPE_Const,EXTRACTED,HIGH,0,NOT_AVAILABLE,283,50,0,12,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
/Game/Genesis2/Missions/ModularMission/MissionModule_zSubmodule_SpawnCreatures_Base.MissionModule_zSubmodule_SpawnCreatures_Base,MissionModule_zSubmodule_SpawnCreatures_Base,/Script/Engine.Blueprint,/Game/Genesis2/Missions/ModularMission/MissionModule_zSubmodule_SpawnCreatures_Base.MissionModule_zSubmodule_SpawnCreatures_Base_C,/Game/Genesis2/Missions/ModularMission/MissionModule_Base.MissionModule_Base_C,/Script/ShooterGame.NewMissionModuleBase,BPTYPE_Normal,EXTRACTED,HIGH,0,NOT_AVAILABLE,274,68,0,4,0,0,0,,,1,"[""has_descendants"",""referenced_by_assets"",""cross_domain_references""]"
